headline_text,headline_link,date_scraped
American actor and filmmaker Robert Redford (pictured) dies at the age of 89 .,https://en.wikipedia.org/wiki/Robert_Redford,2025-09-18 14:46:04
"In television, The Studio wins best comedy and The Pitt wins best drama at the Primetime Emmy Awards .",https://en.wikipedia.org/wiki/The_Studio_(TV_series),2025-09-18 14:46:04
"After widespread protests , Sushila Karki is appointed interim Prime Minister of Nepal , replacing K. P. Sharma Oli .",https://en.wikipedia.org/wiki/2025_Nepalese_Gen_Z_protests,2025-09-18 14:46:04
Former Brazilian president Jair Bolsonaro is sentenced to 27 years in prison for his involvement in a coup plot .,https://en.wikipedia.org/wiki/President_of_Brazil,2025-09-18 14:46:04
Gaza war,https://en.wikipedia.org/wiki/Gaza_war,2025-09-18 14:46:04
Russian invasion of Ukraine timeline,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine,2025-09-18 14:46:04
timeline,https://en.wikipedia.org/wiki/Timeline_of_the_Russian_invasion_of_Ukraine_(1_September_2025_%E2%80%93_present),2025-09-18 14:46:04
Sudanese civil war timeline,https://en.wikipedia.org/wiki/Sudanese_civil_war_(2023%E2%80%93present),2025-09-18 14:46:04
timeline,https://en.wikipedia.org/wiki/Timeline_of_the_Sudanese_civil_war_(2025),2025-09-18 14:46:04
Kwadwo Safo Kantanka,https://en.wikipedia.org/wiki/Kwadwo_Safo_Kantanka,2025-09-18 14:46:04
Isabel Rilvas,https://en.wikipedia.org/wiki/Isabel_Rilvas,2025-09-18 14:46:04
Hermeto Pascoal,https://en.wikipedia.org/wiki/Hermeto_Pascoal,2025-09-18 14:46:04
Kim Seong-min,https://en.wikipedia.org/wiki/Kim_Seong-min_(defector),2025-09-18 14:46:04
Inge Brück,https://en.wikipedia.org/wiki/Inge_Br%C3%BCck,2025-09-18 14:46:04
Mary Rose Oakar,https://en.wikipedia.org/wiki/Mary_Rose_Oakar,2025-09-18 14:46:04
Nominate an article,https://en.wikipedia.org/wiki/Wikipedia:In_the_news/Candidates,2025-09-18 14:46:04
